loan_dim_loan_dim_id;account_dim_account_id;amount;duration;payments;calendar_dim_year ;calendar_dim_month;calendar_dim_day
5314;1787;96396;12;8033.00;93;7;5
5316;1801;165960;36;4610.00;93;7;11
6863;9188;127080;60;2118.00;93;7;28
5325;1843;105804;36;2939.00;93;8;3
7240;11013;274740;60;4579.00;93;9;6
6687;8261;87840;24;3660.00;93;9;13
7284;11265;52788;12;4399.00;93;9;15
6111;5428;174744;24;7281.00;93;9;24
7235;10973;154416;48;3217.00;93;10;13
5997;4894;117024;24;4876.00;93;11;4
7121;10364;21924;36;609.00;93;11;10
6077;5270;79608;24;3317.00;93;11;22
6228;6034;464520;60;7742.00;93;12;1
6356;6701;95400;36;2650.00;93;12;8
5523;2705;93888;36;2608.00;93;12;8
6456;7123;47016;12;3918.00;93;12;9
7104;10320;259740;60;4329.00;93;12;13
6820;9034;38148;12;3179.00;93;12;16
6876;9236;86616;12;7218.00;93;12;21
7097;10266;75624;24;3151.00;93;12;23
4959;2;80952;24;3373.00;94;1;5
6499;7401;80952;24;3373.00;94;1;5
5479;2486;24516;12;2043.00;94;1;10
5170;1071;253200;60;4220.00;94;1;20
6721;8475;21072;24;878.00;94;1;21
7259;11111;108144;36;3004.00;94;1;31
5285;1603;78936;12;6578.00;94;2;6
5189;1166;149040;48;3105.00;94;2;7
6650;8073;49320;12;4110.00;94;2;17
7226;10940;197748;36;5493.00;94;2;23
6087;5313;300660;60;5011.00;94;2;27
7262;11135;182628;36;5073.00;94;3;1
5519;2694;91632;12;7636.00;94;3;8
6577;7753;51696;24;2154.00;94;3;11
6509;7445;55368;24;2307.00;94;3;15
6520;7485;91200;24;3800.00;94;3;16
6699;8330;7656;24;319.00;94;3;30
6336;6555;212400;36;5900.00;94;3;31
7055;10079;167100;60;2785.00;94;4;6
6103;5385;149340;60;2489.00;94;4;7
6202;5891;65184;12;5432.00;94;4;18
7066;10131;215388;36;5983.00;94;5;2
6696;8321;89040;60;1484.00;94;5;9
6072;5256;193968;36;5388.00;94;5;10
5130;813;24312;12;2026.00;94;5;11
5568;2933;272520;60;4542.00;94;5;17
6678;8173;80340;12;6695.00;94;5;20
6998;9833;97632;12;8136.00;94;5;21
6580;7769;196080;48;4085.00;94;5;22
6316;6473;76908;12;6409.00;94;5;26
6512;7454;63312;48;1319.00;94;5;26
6407;6930;25944;24;1081.00;94;5;26
5002;173;104808;12;8734.00;94;5;31
6647;8051;208320;48;4340.00;94;6;1
7137;10439;151560;24;6315.00;94;6;3
6903;9337;52128;24;2172.00;94;6;4
5918;4576;300204;36;8339.00;94;6;4
6642;8027;77640;12;6470.00;94;6;5
6210;5927;87216;48;1817.00;94;6;6
6279;6273;87360;24;3640.00;94;6;7
7249;11065;69360;48;1445.00;94;6;12
6736;8558;288360;60;4806.00;94;6;14
6112;5442;174744;24;7281.00;94;6;17
5319;1811;239460;60;3991.00;94;6;23
6596;7844;91584;24;3816.00;94;6;25
5837;4260;244560;60;4076.00;94;6;29
5657;3354;4980;12;415.00;94;7;5
5533;2762;111384;24;4641.00;94;7;5
6232;6051;276660;36;7685.00;94;7;8
6888;9265;39576;12;3298.00;94;7;11
6066;5228;173808;24;7242.00;94;7;11
5549;2824;50460;60;841.00;94;7;16
5060;426;252060;60;4201.00;94;7;19
6004;4937;143904;24;5996.00;94;7;23
5126;790;208128;48;4336.00;94;7;24
7220;10911;131292;36;3647.00;94;7;28
6668;8129;74736;36;2076.00;94;7;30
5395;2176;299088;36;8308.00;94;7;30
6836;9093;189300;60;3155.00;94;8;3
6064;5215;14628;12;1219.00;94;8;4
6919;9403;120888;36;3358.00;94;8;5
6841;9104;172080;48;3585.00;94;8;7
6038;5120;323472;48;6739.00;94;8;10
6729;8519;74688;12;6224.00;94;8;11
7198;10788;45768;12;3814.00;94;8;23
6686;8260;224604;36;6239.00;94;8;25
5836;4259;79632;24;3318.00;94;8;27
7061;10105;121896;24;5079.00;94;8;27
5595;3050;82896;12;6908.00;94;9;2
5723;3674;23628;12;1969.00;94;9;10
6120;5481;209184;48;4358.00;94;9;11
6895;9307;41904;12;3492.00;94;9;19
5882;4427;87816;12;7318.00;94;9;26
5754;3834;23052;12;1921.00;94;9;28
6594;7824;189696;24;7904.00;94;9;28
6738;8566;230220;36;6395.00;94;9;29
6624;7965;71460;12;5955.00;94;9;30
6216;5952;141240;24;5885.00;94;9;30
6229;6040;11736;24;489.00;94;10;2
5887;4448;192744;36;5354.00;94;10;3
6808;8982;227880;36;6330.00;94;10;12
6297;6363;17508;12;1459.00;94;10;25
5161;1012;98184;24;4091.00;94;10;28
5390;2167;170256;24;7094.00;94;10;30
6150;5622;83016;12;6918.00;94;11;2
6223;5991;61056;48;1272.00;94;11;3
5032;290;123696;48;2577.00;94;11;3
6253;6148;59760;24;2490.00;94;11;4
6460;7133;48672;36;1352.00;94;11;6
6645;8041;140400;36;3900.00;94;11;6
5176;1106;192552;24;8023.00;94;11;12
5269;1527;164052;36;4557.00;94;11;19
5351;1978;205200;36;5700.00;94;12;4
5861;4337;51408;24;2142.00;94;12;8
5450;2345;199680;60;3328.00;94;12;11
7142;10451;482940;60;8049.00;94;12;19
6306;6425;36684;12;3057.00;94;12;20
6272;6226;398640;60;6644.00;94;12;20
5044;344;100980;60;1683.00;94;12;21
5576;2962;31248;12;2604.00;94;12;21
7192;10738;115992;36;3222.00;94;12;21
5739;3747;76380;12;6365.00;95;1;2
6526;7523;288468;36;8013.00;95;1;3
5624;3166;177744;48;3703.00;95;1;3
6244;6118;270648;36;7518.00;95;1;8
5131;816;48624;24;2026.00;95;1;8
6960;9640;76416;24;3184.00;95;1;11
6358;6715;137880;60;2298.00;95;1;14
5418;2245;347952;48;7249.00;95;1;16
6598;7857;68112;12;5676.00;95;1;18
5464;2419;95808;12;7984.00;95;1;30
