order_dim_order_id;account_dim_account_id;amount
29401;1;2452.00
29402;2;3372.70
29403;2;7266.00
29404;3;1135.00
29405;3;327.00
29406;3;3539.00
29407;4;2078.00
29408;4;1285.00
29409;5;2668.00
29410;6;3954.00
29411;7;4880.00
29412;8;2612.00
29413;8;6712.00
29414;10;7033.00
29415;10;1344.00
29416;11;2132.00
29417;12;297.00
29418;12;3295.00
29419;13;2444.00
29420;14;3629.00
29421;15;3072.00
29422;17;4032.00
29423;19;2523.20
29425;20;2003.00
29426;21;6276.00
29427;22;6352.00
29428;23;5807.00
29429;24;221.00
29430;24;7641.00
29431;25;2523.20
29432;25;6817.00
29433;25;1110.00
29434;25;164.00
29435;26;10387.00
29436;27;4054.00
29439;29;6871.00
29440;29;829.00
29441;29;8.00
29442;30;2480.20
29443;31;10202.00
29444;33;3892.00
29445;34;1479.00
29446;34;502.00
29447;34;6070.00
29448;35;1022.00
29449;35;1362.00
29450;36;4069.00
29451;37;5307.50
29452;37;2317.00
29453;37;2584.00
29454;37;97.00
29455;38;2306.80
29456;38;6901.00
29457;38;231.00
29458;38;228.00
29459;39;145.00
29460;39;2970.00
29461;40;33.00
29462;40;4301.00
29463;42;4239.00
29464;42;239.00
29465;42;1592.00
29466;43;6589.00
29467;44;2344.00
29470;47;6940.00
29471;47;174.00
29472;47;141.00
29473;47;9.00
29474;48;6268.00
29475;48;1029.00
29476;49;3102.00
29477;50;269.00
29478;50;7024.00
29479;51;2074.00
29480;51;2057.00
29481;52;560.00
29482;52;3723.00
29483;53;2851.00
29484;54;2280.00
29485;55;3086.00
29486;56;8080.00
29487;57;4107.00
29489;59;695.00
29490;59;6190.00
29493;61;1645.00
29494;61;668.00
29495;62;2273.00
29496;63;2237.00
29497;63;157.00
29498;65;686.00
29499;65;3315.00
29500;65;3401.00
29501;66;4471.30
29502;67;6915.00
29503;67;6393.00
29504;67;445.00
29505;68;1705.00
29506;68;1186.00
29507;68;137.00
29508;68;61.00
29509;70;4150.00
29510;71;968.00
29511;71;1602.00
29512;71;1011.00
29513;71;778.00
29514;72;2923.00
29515;72;7109.00
29516;72;2286.00
29517;73;6061.00
29522;75;3369.00
29523;76;5208.00
29524;77;1709.00
29525;78;9039.00
29526;79;2788.00
29527;80;2252.00
29528;81;1765.00
29529;81;62.00
29530;81;229.00
29531;83;2210.00
29532;83;3940.00
29533;84;1709.00
29534;84;12452.00
29535;85;3831.00
29536;85;1792.00
29537;86;1002.00
29538;86;1160.00
29541;88;2268.00
29542;90;2774.00
29543;90;2375.00
29544;90;4372.00
29545;90;361.00
29554;96;4422.10
29555;96;908.00
29556;96;2140.00
29557;96;46.00
29558;96;644.00
29559;97;1436.00
29560;97;2411.00
29561;97;3.00
29562;97;15.00
29563;97;8573.00
29564;98;1569.00
29565;98;749.00
29566;99;4503.00
29567;99;4682.00
29568;100;598.00
29569;100;7329.00
29570;101;8037.00
29571;101;855.00
29572;102;7370.20
29573;102;3373.00
29574;102;377.00
29575;103;7370.20
29576;104;578.00
29577;104;1464.00
29578;105;7348.00
29579;106;3735.00
29580;107;2015.00
29581;107;1580.00
29582;107;959.00
29583;108;4803.00
29584;110;3050.00
29585;110;98.00
29586;110;4516.00
29589;112;2051.00
29590;113;3146.00
29591;114;1590.00
29592;114;533.00
29593;115;5110.00
29594;116;5529.00
29595;116;927.00
29596;117;2329.00
29597;118;2449.00
29598;119;8252.00
29599;120;1899.00
29600;120;3965.00
29601;121;794.00
29602;121;929.00
29603;121;393.00
29604;123;3016.00
29605;124;447.00
29606;124;575.00
29607;124;971.00
29608;125;4422.10
29609;126;7384.00
29610;127;2242.00
29611;129;3417.00
29612;130;3969.00
29613;131;6904.00
29614;132;7370.20
29615;133;3094.00
29616;133;4943.00
29617;133;5123.00
29618;136;2932.00
29619;137;3464.00
29620;137;787.00
29621;141;3016.50
29622;141;3462.00
29623;141;1791.00
29624;141;6716.00
29625;142;1845.00
29626;143;2272.00
29627;145;4815.00
29628;146;3823.00
29631;148;487.00
29632;148;89.00
29633;148;1736.00
29634;151;411.00
29635;151;2668.00
29636;152;426.00
29637;152;2993.00
29638;153;4544.00
29639;154;3891.00
29640;155;2988.00
29641;156;2030.00
29642;157;3991.00
29643;158;3420.00
29644;159;8694.00
29645;160;2374.00
29646;160;5552.00
29647;161;1389.00
29648;161;892.00
29649;162;3458.00
29650;163;3116.00
29651;163;612.00
29652;165;1788.00
29653;166;3044.00
29654;168;2013.00
29655;169;4975.00
29656;169;696.00
29657;171;3486.00
29658;172;4221.00
29659;173;6256.00
29660;173;1428.00
29661;173;735.00
29662;173;189.00
29663;173;8734.00
29664;174;2139.00
29667;176;2288.30
29668;176;4564.00
29669;176;36.00
29670;176;97.00
29671;178;1482.00
29672;178;505.00
29673;179;7615.00
29674;179;1066.00
29675;179;378.00
29676;179;4608.00
29677;181;6780.00
29678;183;5202.00
29679;183;752.00
29680;184;1623.00
29681;185;6526.00
29682;186;6862.00
29683;187;2798.00
29684;188;7426.00
29685;189;4244.00
29686;189;750.00
29687;189;360.00
29688;190;4519.00
29689;190;3233.00
29690;190;42.00
29691;190;1316.00
29692;191;4420.90
29693;192;3583.00
29694;193;7110.00
29695;194;2648.00
29696;195;6260.00
29697;196;1270.00
29698;196;4417.00
29699;196;2554.00
29700;196;385.00
29701;197;9454.00
29702;198;700.00
29703;198;2166.00
29704;199;1984.00
29705;201;9584.00
29711;204;1950.00
29712;205;4297.00
29713;206;2902.00
29714;207;403.00
29715;207;10.00
29716;207;2726.00
29717;208;4148.00
29718;208;1767.00
29719;208;986.00
29720;208;545.00
29721;209;483.00
29722;209;41.00
29723;209;1796.00
29724;210;7534.00
29725;211;2394.00
29726;212;13841.00
29727;213;5625.00
29728;214;2097.00
29729;215;2121.00
29730;216;1486.00
29731;216;1513.00
29732;217;3459.00
29733;217;653.00
29734;218;3182.00
29735;219;2336.00
29736;219;2988.00
29737;220;3095.00
29738;221;7896.00
29739;222;3440.90
29740;224;3503.00
29741;225;3383.00
29742;225;2.00
29743;226;8928.00
29744;226;9112.00
29745;227;9381.00
29746;228;1946.00
29747;228;2158.00
29748;229;2505.00
29749;230;5615.00
29750;230;1527.00
29751;230;1058.00
29752;231;2073.00
29753;232;3643.00
29755;234;2809.00
29756;235;895.00
29757;235;1321.00
29758;237;152.00
29759;237;1788.00
29760;238;2234.00
29761;239;1042.00
29762;239;5995.00
29763;239;152.00
29764;240;9621.00
29765;240;1050.00
29766;241;1344.00
29767;241;632.00
29768;241;610.00
29769;242;1062.00
29770;242;2977.00
29771;243;1041.00
29772;243;3067.00
29773;244;2190.00
29774;244;226.00
29775;244;232.00
29776;246;1970.00
29780;248;2484.90
29781;249;5618.00
29782;249;1876.00
29783;250;3066.00
29784;251;3059.00
29785;252;1767.00
29788;255;5323.00
29789;257;3816.70
29790;257;14166.00
29791;258;3737.00
29792;259;297.00
29793;259;2857.00
29794;260;5247.00
29795;261;2182.00
29796;261;371.00
29797;263;6145.00
29798;264;3307.00
29799;265;2900.00
29800;266;4975.20
29801;267;3074.00
